PAD NO.,CI NO.,DATE,COMPANY,DETAILS,PO NUMBER,AMOUNT,STATUS/REMARKS,,,,,,,,,,,,,,
1,1,8/19/25,PCA XI,"PLAQUE, 7@1500; PLAQUE 1@1500",,"12,000.00",,,,,,,,,,,,,,,
,2,,CANCELLED,,,,,,,,,,,,,,,,,,
,3,8/23/25,DMSFI,JACKET HOODY 3@650,,"1,950.00",,,,,,,,,,,,,,,
,4,,GCHOW MALL FOODS CORP.,"OUTDOOR STICKER 8 1/2 X 14IN, 20@35.71",,714.20,,,,,,,,,,,,,,,
,5,,MINDANAO INCLUSIVE AGRICULTURE DEVELOPMENT PROJECT,CARVED WOOD EAGLE TROPHY 3@2100; CAEVE WOOD PLAQUE W/ EAGLE DESIGNS 12@3000; STAINLESS STEEL MUG W/ COVER IN WOODEN EAGLE DESIGN 135@400; WELCOME LEI 50@300; CANVASS TOTE BAG W/ MIADP LOGO 170@495; 170@495,,"241,350.00",,,,,,,,,,,,,,,
,6,8/26/25,PAG-IBIG FUND,TARPAULIN 8X12FT,25-08-760 SM25197,"1,152.00",,,,,,,,,,,,,,,
,7,8/7/25,PSA DAVAO DEL SUR,PULL UP BANNER W/ SPIDER BANNER STAND 15@500; POSTER TARPAULIN TYPE 4@70,,"7,780.00",,,,,,,,,,,,,,,
,8,8/28/25,IBEX GLOBAL SOLUTIONS (PHILIPPINES) INC.,DTV WALL BRANDING PROD 5 - DAVAO 2,36-003976,"130,868.00",,,,,,,,,,,,,,,
,9,8/25,DILG XI,ICS PLANNING 4X6FT 1@350; ORGANIZATION 4X6FT 1@350; OTHER TARP,2025-08-192,"4,900.00",,,,,,,,,,,,,,,
,10,08/29/25,IBEX GLOBAL SOLUTIONS (PHILIPPINES) INC.,TSHIRT TIVO 31@350; PRINTED MUGS 21@150; AQUAFLASK 6@900; BASKETBALL CAP 15@280; UMBRELLA 6@300; UNIQLO POLO TIVO STAR 8@1300,,"35,800.00",,,,,,,,,,,,,,,
,11,09/01/25,DMSFI,JACKET WITH EMBROIDERED LOGO 1@1200,,"1,200.00",,,,,,,,,,,,,,,
,12,09/02/25,LAPANDAY FOODS CORPORATION,CALLING CARD 1BOX@450,250000250,450.00,,,,,,,,,,,,,,,
,13,09/02/25,LAPANDAY FOODS CORPORATION,CALLING CARD 2@450,250000294,900.00,,,,,,,,,,,,,,,
,14,09/02/25,ZUMMIT FOODS CORP,POLO SHIRT 8@370,ZO-01536,"2,760.00",,,,,,,,,,,,,,,
,15,,ZUMMIT FOODS CORP,POLO SHIRT 15@370,ZO-01535,"5,550.00",,,,,,,,,,,,,,,
,16,,CANCELLED,,,,,,,,,,,,,,,,,,
,17,,ZUMMIT FOODS CORP,POLO SHIRT 13@370,ZO-01534,"4,810.00",,,,,,,,,,,,,,,
,18,,DA PRDP,TUMBER W/ PRINT 500ML 60@250; TOTE BAG CANVASS W/ PRINT 60@225,2025-08-054,"28,500.00",W/ WHITE COPY,,,,,,,,,,,,,,
,19,09/04/25,PAG-IBIG FUND,PULLUP BANNER W/ TARP STANDEE 1@1150; TARPAULIN BANNER 1@255,25-08-765,"1,405.00",,,,,,,,,,,,,,,
,20,09/05/25,GENCORP INDUSTRIES INC.,2IN X 8M OUTDOOR STICKER 4@11,JB1034-06-2025-201,44.00,,,,,,,,,,,,,,,
,21,09/05/25,GENCORP INDUSTRIES INC.,OUTDOOR STICKER 2IN X 8IN 4@11,JB1027-08-2025-200,44.00,,,,,,,,,,,,,,,
,22,9/5/25,CK GMALL / GCHOW MALL FOODS CORP,8IN X 25IN OUTDOOR STICKER 60@9.82,CK-1045-07-2025-237,589.29,,,,,,,,,,,,,,,
,23,09/05/25,GENCORP INDUSTRIES INC.,8IN X 2.5IN OUTDOOR STICKER 25@9.82; 3IN X 1IN 7@2.23,JP 1029-08-2025-270,261.16,,,,,,,,,,,,,,,
,24,09/05/25,METRO CITY CHOW FOODS CORP,27IN X 38IN POSTER PHOTOPAPER 2@400,CK1051-02-2025-207,800.00,,,,,,,,,,,,,,,
,25,09/05/25,GENCORP INDUSTRIES INC.,SUPPLY AND INSTALLATION OF SIGNAGE INDOOR AT JOLIBEE GMALL,,"9,500.00",,,,,,,,,,,,,,,
,26,09/05/25,DILG XI,"TRAINING KITS (TOTE BAG W/ LOGO, NOTEBOOK W/ LOGO, BALLPEN, ID SLING) 67@550",,"33,500.00",,,,,,,,,,,,,,,
,27,,NIA,POLO SHIRT AND TOTE BAG 75@985,,"73,875.00",,,,,,,,,,,,,,,
,28,9/6/25,WESTERN INTERWEB NETWORK INC.,2 PCS STICKER ON ACRYLIC POSTER (28IN X 40IN) WITH INSTALLATION,,"2,000.00",,,,,,,,,,,,,,,
